mesh23d,elevation
0000,145.7
0001,144.8
0002,156.1
0003,176
0004,176.7
0005,151.2
0006,127.4
0007,103.4
0008,132.6
0009,147
0010,149.4
0011,147.4
0012,169.2
0013,180.9
0014,167.5
0015,154.9
0016,109.7
0017,127.4
0018,155.9
0019,116
0020,153
0021,159.8
0022,181.6
0023,178.3
0024,154.4
0025,114.6
0026,119.2
0027,164.4
0028,132.2
0029,137.9
0030,155.4
0031,177.2
0032,183.8
0033,151.9
0034,117.2
0035,130.6
0036,161
0037,143.5
0038,136.3
0039,166.6
0040,174.3
0041,180.4
0042,158.4
0043,118.3
0044,140.4
0045,171.9
0046,147.4
0047,153.2
0048,145.6
0049,173.4
0050,170.5
0051,138.1
0052,125.3
0053,134.1
0054,173.2
0055,147.9
0056,162.1
0057,176.4
0058,156
0059,180.6
0060,150.6
0061,149.7
0062,129.7
0063,169.8
0064,158.9
0065,164.3
0066,190.6
0067,171.4
0068,169.4
0069,186.6
0070,153.6
0071,139
0072,163.2
0073,170.7
0074,158.2
0075,185.6
0076,188
0077,167.1
0078,191.6
0079,176.3
0080,149.4
0081,175.2
0082,181.3
0083,171.9
0084,194.5
0085,193
0086,182.6
0087,183
0088,192.4
0089,159.1
0090,178
0091,189.4
0092,173.2
0093,195.9
0094,196.7
0095,191.3
0096,188.6
0097,188.1
0098,180.5
0099,145.9
0100,125.8
0101,142.8
0102,81.4
0103,127
0104,176.3
0105,171
0106,196.9
0107,253.2
0108,274.2
0109,282.5
0110,147.8
0111,126.1
0112,84.7
0113,133.8
0114,213.1
0115,227.8
0116,235.8
0117,269.4
0118,287.7
0119,315.7
0120,152.5
0121,138.6
0122,91.6
0123,112
0124,195.7
0125,228.2
0126,209.3
0127,281.4
0128,313.7
0129,344.4
0130,158
0131,127.4
0132,105.5
0133,103.1
0134,148.1
0135,173.2
0136,212.1
0137,299.2
0138,370.4
0139,387.9
0140,155.4
0141,149
0142,102.6
0143,125.8
0144,180.4
0145,223.8
0146,258.7
0147,292.9
0148,375.3
0149,398.6
0150,171.5
0151,125.6
0152,95.9
0153,172.2
0154,190.5
0155,234.3
0156,228.1
0157,297.9
0158,343.5
0159,393.9
0160,148.5
0161,105.9
0162,110.8
0163,191.7
0164,195.6
0165,187.7
0166,235.4
0167,308.1
0168,342.3
0169,350
0170,129.4
0171,99.5
0172,116.3
0173,156.5
0174,156.7
0175,214.6
0176,286.9
0177,274.4
0178,325.7
0179,303.1
0180,116.8
0181,98.6
0182,118.3
0183,126.5
0184,146.2
0185,215
0186,270.9
0187,319.2
0188,283.6
0189,265.9
0190,111.9
0191,101.6
0192,129.1
0193,163.4
0194,163.2
0195,161.8
0196,220.6
0197,305.8
0198,231.6
0199,252.6
0200,340.1
0201,274.4
0202,288.5
0203,247.1
0204,245.1
0205,194.4
0206,243.7
0207,234.4
0208,306.4
0209,212.4
0210,334.6
0211,274.4
0212,300.8
0213,253.8
0214,270.5
0215,256.9
0216,285.7
0217,260.3
0218,279.2
0219,181.9
0220,341.2
0221,313.3
0222,283
0223,297.2
0224,281.5
0225,274.7
0226,327.5
0227,295.5
0228,240.3
0229,169.3
0230,354.6
0231,339
0232,319.9
0233,328.5
0234,312
0235,322.7
0236,335.1
0237,228.4
0238,232.8
0239,272.4
0240,408.2
