mesh23d,elevation
0000,1.3
0001,0.8
0009,27.1
0010,1.2
0011,1.1
0018,1.5
0019,25.6
0020,5.7
0021,1.4
0028,8.7
0029,24.4
0030,28.1
0031,2.6
0037,0.8
0038,19.2
0039,52
0040,46.2
0041,5.5
0042,1.7
0044,0.9
0045,1.5
0046,3.4
0047,11.8
0048,50
0049,75.8
0050,32.2
0051,8.6
0052,2
0053,1.1
0054,7.3
0055,18.7
0056,24.4
0057,23.6
0058,74.4
0059,68
0060,20.3
0061,8.7
0062,2.7
0063,1.2
0064,13.1
0065,73
0066,38.8
0067,50.2
0068,81.9
0069,73.5
0070,22.1
0071,17.3
0072,6.8
0073,4.4
0074,23.4
0075,55.2
0076,80.3
0077,126
0078,65.7
0079,67.7
0080,47.6
0081,33.7
0082,13.4
0083,20.5
0084,18.4
0085,73.1
0086,101.9
0087,144.3
0088,83.7
0089,89.3
0090,87.8
0091,136
0092,48.9
0093,47
0094,28.9
0095,43.8
0096,74.2
0097,187.6
0098,110.8
0099,111.8
0100,37.9
0101,2.2
0102,12.9
0103,7.4
0104,6.3
0105,12
0106,19
0107,9.9
0108,16.4
0109,27.5
0110,26.9
0111,4.3
0112,9.6
0113,13.4
0114,9.1
0115,13
0116,19.4
0117,25.9
0118,28.4
0119,14.5
0120,41.6
0121,10.4
0122,14.5
0123,27.9
0124,15.8
0125,30.2
0126,16.9
0127,49.2
0128,55.4
0129,21.6
0130,60.1
0131,40.9
0132,32.9
0133,34.5
0134,20.7
0135,27.7
0136,33.2
0137,43.5
0138,87.2
0139,52.6
0140,81.4
0141,50.2
0142,36.8
0143,30.9
0144,32
0145,28
0146,32.9
0147,30.7
0148,95.1
0149,89.4
0150,53.4
0151,48.3
0152,12.8
0153,18.7
0154,35.9
0155,37.4
0156,22.2
0157,24.9
0158,58.4
0159,102.4
0160,23.3
0161,14.5
0162,5.6
0163,12
0164,51.3
0165,61.6
0166,54.8
0167,39.4
0168,30.4
0169,72.6
0170,38.7
0171,26.4
0172,10.7
0173,13.6
0174,39.9
0175,106.7
0176,115.4
0177,72.1
0178,50.4
0179,63.2
0180,81.7
0181,67.9
0182,45.2
0183,34.4
0184,38.6
0185,94.9
0186,142.5
0187,111.7
0188,88.3
0189,48.2
0190,102.5
0191,120.2
0192,100.8
0193,42.2
0194,67.8
0195,98.1
0196,123.1
0197,123
0198,75.6
0199,60.2
0200,124.9
0201,105.1
0202,78.3
0203,74.1
0204,66.1
0205,36.2
0206,15.7
0207,13
0208,12.7
0209,7.1
0210,139.2
0211,149.4
0212,77.1
0213,65.9
0214,54
0215,40.1
0216,20.1
0217,12
0218,8.8
0219,7.7
0220,99.9
0221,108
0222,59.4
0223,46.8
0224,58.2
0225,39.3
0226,27.9
0227,11.5
0228,12.4
0229,11
0230,30.5
0231,63.5
0232,50.3
0233,50.1
0234,65.8
0235,63.1
0236,44
0237,14.1
0238,10
0239,6.1
0240,25.3
0241,26.7
0242,33.1
0243,56.5
0244,86.2
0245,78.2
0246,61.3
0247,25.7
0248,11.1
0249,8.8
0250,50.3
0251,31.4
0252,28.4
0253,52.8
0254,79.6
0255,81.6
0256,70.6
0257,50.4
0258,13
0259,7.1
0260,58.9
0261,38.6
0262,36.8
0263,49.4
0264,66.3
0265,62.8
0266,73.1
0267,55.6
0268,16.2
0269,10.9
0270,51.3
0271,48.4
0272,48.1
0273,30.3
0274,62.6
0275,79.6
0276,78.4
0277,75.6
0278,26.2
0279,7
0280,77.2
0281,92
0282,64.9
0283,56.5
0284,106.4
0285,108.3
0286,84.5
0287,108.6
0288,58.7
0289,21.9
0290,70
0291,106
0292,70.7
0293,55.4
0294,91.4
0295,117.8
0296,122.2
0297,98.2
0298,98.9
0299,38.7
0300,3.6
0302,28
0303,0.3
0304,11.1
0305,27.9
0306,22.2
0307,26.8
0310,1.8
0311,1.7
0312,9.2
0313,3.2
0314,13
0315,22.1
0316,8.9
0317,62.7
0318,29
0320,1.2
0321,0.3
0322,1.2
0323,4.1
0324,6.7
