mesh23d,elevation
0000,188.5
0001,209.7
0002,260
0003,324.5
0004,407.8
0005,463.8
0006,501.9
0007,518.5
0008,449
0009,371.7
0010,199.5
0011,232.8
0012,241.9
0013,324.3
0014,434.7
0015,540.3
0016,503.7
0017,479.5
0018,416.7
0019,441.1
0020,214.3
0021,245.4
0022,271.6
0023,332
0024,437.2
0025,588.7
0026,542.5
0027,495.5
0028,487.4
0029,604.9
0030,237.5
0031,256.7
0032,295.1
0033,331.2
0034,402.7
0035,470.2
0036,522.9
0037,651.8
0038,647.6
0039,731
0040,263.9
0041,292.5
0042,318.6
0043,332.6
0044,388.6
0045,381.7
0046,526.4
0047,717.2
0048,786.9
0049,770.3
0050,313.4
0051,411.3
0052,404.9
0053,391.3
0054,360.1
0055,420.6
0056,555.4
0057,569.7
0058,608.3
0059,612.5
0060,446.4
0061,537.8
0062,565.8
0063,466
0064,464.3
0065,561
0066,519.3
0067,456.1
0068,515.5
0069,435.1
0070,474.3
0071,528.7
0072,550.8
0073,640.7
0074,553
0075,517.3
0076,405.8
0077,379.9
0078,364.1
0079,434.7
0080,416.5
0081,506.4
0082,502.8
0083,668.9
0084,542.8
0085,416
0086,381.1
0087,426.1
0088,454.1
0089,549.7
0090,397.7
0091,499.9
0092,505.9
0093,604.5
0094,478.3
0095,402.6
0096,548.5
0097,581.2
0098,703.5
0099,657.3
0100,502.5
0101,356.3
0102,344.7
0103,416.7
0104,225.8
0105,188.8
0106,203.2
0107,109
0108,75.2
0109,68.6
0110,569.2
0111,411.3
0112,522.8
0113,469.1
0114,325.8
0115,329.5
0116,183
0117,155
0118,142.6
0119,50.7
0120,557.5
0121,502.8
0122,522.8
0123,413.9
0124,296.5
0125,291.7
0126,167.3
0127,199.7
0128,121.3
0129,70.2
0130,719.1
0131,596.8
0132,520.7
0133,274
0134,277.8
0135,231.1
0136,274
0137,143.5
0138,254.2
0139,143.5
0140,684.9
0141,457.8
0142,341.7
0143,290
0144,479.5
0145,534.6
0146,296.1
0147,282.2
0148,367.6
0149,251.2
0150,637.5
0151,440.7
0152,411.8
0153,557.6
0154,654.7
0155,528.6
0156,227.1
0157,473.1
0158,421.9
0159,299.6
0160,427.9
0161,367.4
0162,449.3
0163,675.8
0164,585.7
0165,277
0166,312.2
0167,591.7
0168,439.5
0169,266.6
0170,600.6
0171,455.4
0172,551.9
0173,647.9
0174,317.2
0175,292.9
0176,448.8
0177,659.8
0178,426.9
0179,350.8
0180,622.8
0181,572.9
0182,816.1
0183,608
0184,283.1
0185,480.4
0186,635
0187,606.4
0188,383.6
0189,447.4
0190,520.2
0191,763.9
0192,851.6
0193,499.4
0194,331.9
0195,493.7
0196,666
0197,484.5
0198,493.4
0199,409
0200,26.5
0201,29.9
0202,43.4
0203,61.5
0204,52.3
0205,34.2
0206,21.7
0207,16.3
0208,45.3
0209,78.8
0210,54.1
0211,53.3
0212,54.1
0213,54.7
0214,37.4
0215,40.1
0216,27.5
0217,39.6
0218,71.5
0219,91.1
0220,84.2
0221,79.7
0222,75.3
0223,61.7
0224,61.2
0225,53.2
0226,30
0227,81.5
0228,90.3
0229,76.2
0230,121.4
0231,105.4
0232,87.8
0233,87.7
0234,84.2
0235,44.8
0236,57.8
0237,84.2
0238,88.3
0239,88
0240,168.4
0241,114.4
0242,92
0243,87.8
0244,52.6
0245,51.3
0246,79.9
0247,43.7
0248,51.3
0249,76.9
0250,171.3
0251,133.3
0252,107.1
0253,69
0254,66.4
0255,77.7
0256,78.5
0257,55.2
0258,35.3
0259,60.6
0260,237.8
0261,148.5
0262,117.5
0263,80.6
0264,74
0265,92.5
0266,46.6
0267,27.9
0268,20
0269,45.8
0270,266.5
0271,238.9
0272,151.9
0273,103.3
0274,88.9
0275,77.1
0276,30.4
0277,27.7
0278,26.6
0279,28.4
0280,308.7
0281,233.2
0282,189.5
0283,119.2
0284,82.6
0285,40.1
0286,55.2
0287,45.3
0288,35.6
0289,13
0290,289.4
0291,336.4
0292,252.5
0293,182.9
0294,113.4
0295,61
0296,61.4
0297,45.4
0298,29.1
0299,13.4
0300,85.1
0301,72.3
0302,61
0303,58.5
0304,36
0305,10.9
0306,20.2
0307,7.7
0308,6.1
0309,2.3
0310,69.1
0311,39.7
0312,51.5
0313,52.9
0314,45.8
0315,16.4
0316,21.2
0317,9.5
0318,6.2
0319,3.3
0320,64.9
0321,52.6
0322,29.4
0323,25.7
0324,17
0325,14.7
0326,35.2
0327,25
0328,9.5
0329,4.6
0330,78.7
0331,54.3
0332,67.3
0333,43.5
0334,27.3
0335,29.5
0336,59
0337,28.4
0338,8
0339,3.5
0340,59.4
0341,72.1
0342,60.7
0343,47.3
0344,33.5
0345,42.9
0346,26.5
0347,9.6
0348,3.4
0349,2.5
0350,74.6
0351,82.4
0352,73.8
0353,43.8
0354,24.4
0355,8.6
0356,4.8
0357,4.6
0358,2.5
0359,2
0360,82.7
0361,68.5
0362,29.7
0363,9.6
0364,5.7
0365,5
0366,4.5
0367,4.6
0368,3.3
0369,2.2
0370,67.7
0371,34.3
0372,13.1
0373,5.7
0374,5
0375,5.6
0376,5.9
0377,6.6
0378,4.9
0379,3.2
0380,33.4
0381,20.4
0382,5.8
0383,6.1
0384,6.4
0385,14
0386,42.1
0387,45.9
0388,32.2
0389,7.2
